Designator,Mid X,Mid Y,Rotation,Layer
C1,244.22,-66.01,270.0,top
C10,223.95,-72.09,90.0,top
C11,244.04,-73.69,0.0,top
C12,236.8,-71.45,90.0,top
C13,226.310127,-87.800178,270.0,top
C14,246.87,-77.65,270.0,top
C15,229.24,-72.11,90.0,top
C16,225.66,-72.13,90.0,top
C2,236.4,-66.01,90.0,top
C23,217.95,-58.43,180.0,top
C24,227.95,-68.28,90.0,top
C25,212.39,-70.51,0.0,top
C26,225.94,-55.01,90.0,top
C27,233.7,-54.937944,90.0,top
C28,227.67,-72.12,90.0,top
C3,231.68,-71.56,270.0,top
C4,234.19995,-69.1,180.0,top
C5,246.86,-75.24,270.0,top
C6,243.24,-93.36,180.0,top
C7,240.67,-93.4,0.0,top
C8,226.36,-90.56,90.0,top
C9,226.56,-77.48,90.0,top
D1,262.5,-70.5,270.0,top
D2,213.31,-65.749898,90.0,top
J4,245.8,-59.58,90.0,top
J5,213.03,-54.25,0.0,top
J6,217.639936,-81.889987,90.0,top
L1,213.87,-61.65,90.0,top
R10,257.04,-73.13,90.0,top
R11,258.97,-73.1,90.0,top
R12,251.71,-80.09,90.0,top
R13,262.45,-66.52,90.0,top
R2,229.52,-68.31,90.0,top
R4,217.15,-65.3,180.0,top
R5,218.81,-67.0,180.0,top
R6,215.51,-66.97,180.0,top
R7,253.76,-91.05,270.0,top
R8,251.87,-91.09,270.0,top
R9,254.92,-73.13,90.0,top
TP_17V,215.63,-70.47,0.0,top
TP_3V3,226.75,-61.35,0.0,top
TP_5V,259.4,-62.78,0.0,top
U1,236.51,-83.130089,180.0,top
U2,217.109962,-61.710013,270.0,top
U3,229.943501,-54.896991,180.0,top
U4,260.925149,-82.059985,270.0,top
Y2,234.179975,-71.519911,180.0,top
Y3,240.350203,-69.270191,270.0,top
